Rank,Title,Author,Rating,Reviews,Price,URL,Description,Publisher,Publication Date
,My Guide Dog is a Wolf Shifter,Roxie Ray,4.5,,,https://www.amazon.com/My-Guide-Dog-Wolf-Shifter-ebook/dp/B0GR98NZ57/,,,
,Dark Alchemy: House of Cards (The Children Of The Gods Paranormal Romance Book 105),I. T.  Lucas,4.9,,,https://www.amazon.com/Dark-Alchemy-Children-Paranormal-Romance-ebook/dp/B0GJ4G9ZG8/,,,
,The Wolf King: A Fantasy Romance,Lauren Palphreyman,4.4,,,https://www.amazon.com/Wolf-King-Fantasy-Romance-ebook/dp/B0CFQTT2BV/,,,
,Cursed with Benefits,Roxie Ray,4.5,,,https://www.amazon.com/Cursed-Benefits-Roxie-Ray-ebook/dp/B0GQ3BNQY9/,House-sitting a creepy mansion was supposed to be easy—until Nadia accidentally wakes up a grumpy vampire lord who’s now magically bound to her.,,
,Crone of Thorns,Amanda M. Lee,4.7,,,https://www.amazon.com/Crone-Thorns-Amanda-M-Lee-ebook/dp/B0FMPJVJZM/,,,
,Zodiac Academy 3: The Reckoning,Caroline Peckham,4.6,,,https://www.amazon.com/Zodiac-Academy-Reckoning-Romance-Supernatural-ebook/dp/B07XBGJKHQ/,,,
,Zodiac Academy 2: Ruthless Fae,Caroline Peckham,4.5,,,https://www.amazon.com/Zodiac-Academy-Ruthless-Romance-Supernatural-ebook/dp/B07VJ383S6/,,,
,Zodiac Academy 5: Cursed Fates,Caroline Peckham,4.5,,,https://www.amazon.com/Zodiac-Academy-Cursed-Fates-Romance-ebook/dp/B08914K4F9/,,,
,How Not to Kill a Hellhound (Hellhounds of Paradise Falls Book 5),Shannon Mae,4.7,,,https://www.amazon.com/Kill-Hellhound-Hellhounds-Paradise-Falls-ebook/dp/B0FTTJQWG6/,,,
,Zodiac Academy 6: Fated Throne,Caroline Peckham,4.5,,,https://www.amazon.com/Zodiac-Academy-6-Caroline-Peckham-ebook/dp/B088QJ787J/,,,
,Zodiac Academy 4: Shadow Princess,Caroline Peckham,4.5,,,https://www.amazon.com/Zodiac-Academy-Princess-Romance-Supernatural-ebook/dp/B07YLBYWPD/,,,
,Moon Cursed Complete Series,Alexis  Calder,4.3,,,https://www.amazon.com/Moon-Cursed-Complete-Alexis-Calder-ebook/dp/B0CTYTZKNP/,,,
,Obsidian (Shadowbound Fae Book 1),K.F. Breene,4.4,,,https://www.amazon.com/Obsidian-Shadowbound-Fae-Book-1-ebook/dp/B0F3LP475Y/,,,
,Forged in Blood: A Dark Paranormal/ Fantasy romance (Broken Bloodlines Book 1),Sadie Kincaid,4.3,,,https://www.amazon.com/Forged-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8TCHC9/,,,
,The Nanny and Her Alphas: An Omegaverse Reverse Harem Romance (Knotted and Claimed Standalone Series),Layla Sparks,4.1,,,https://www.amazon.com/Nanny-Her-Alphas-Omegaverse-Standalone-ebook/dp/B0FVTSJ2NY/,,,
,Zodiac Academy 7: Heartless Sky,Caroline Peckham,4.4,,,https://www.amazon.com/Zodiac-Academy-7-Caroline-Peckham-ebook/dp/B08R14G8QV/,,,
,Kiss of the Basilisk: A Split or Swallow Novel,Lindsay Straube,4.1,,,https://www.amazon.com/Kiss-Basilisk-Split-Swallow-Novel-ebook/dp/B0DMX89R8T/,,,
,"Immortal by Morning: An Argeneau Vampire Romance Where a Detective Finds Murder, Mystery, and His Destined Life Mate (An Arge",Lynsay Sands,4.5,,,https://www.amazon.com/Immortal-Morning-Halloween-Paranormal-Vampires-ebook/dp/B0DL9V9M5S/,,,
,The Lies that Summon the Night: A Novel,Tessonja Odette,4.6,,,https://www.amazon.com/Lies-that-Summon-Night-Novel-ebook/dp/B0FJX47F4X/,,,
,"Eyes of Devious Burgundy: Deathcaller Duet, Book 1 (An Age of War and Prophecy)",Lacey Lehotzky,4.3,,,https://www.amazon.com/Eyes-Devious-Burgundy-Deathcaller-Prophecy-ebook/dp/B0DJSCN35B/,,,
,Undeniably His Mate,Roxie Ray,4.4,,,https://www.amazon.com/Undeniably-His-Mate-Roxie-Ray-ebook/dp/B0GFVSDGNJ/,,,
,Stalked by Seduction and Shadows (Eternal Obsession Book 1),Maggie Sunseri,4.2,,,https://www.amazon.com/Stalked-Seduction-Shadows-Eternal-Obsession-ebook/dp/B0CQRD3V1Y/,,,
,The Tyrant Alpha's Fated Chase: A Fake Marriage Forbidden Love Wolf Shifter Romance,Jennifer  Eve,4.3,,,https://www.amazon.com/Tyrant-Alphas-Fated-Chase-Forbidden-ebook/dp/B0G4D3BWPC/,"I spent one forbidden night with my fiancé’s brother—my fated mate.Five years later, I walked into his wedding.Worse? He's my new boss, and my secret baby daddy.",,
,The Silversmith: A totally addictive fantasy romance (The Selvaren Book 1),LJ Claren,4.3,,,https://www.amazon.com/Silversmith-totally-addictive-fantasy-Selvaren-ebook/dp/B0FV6P4B9M/,,,
,Destined Mate (Twisted Fate Trilogy Book 1),Jen L. Grey,4.5,,,https://www.amazon.com/Destined-Mate-Twisted-Fate-Trilogy-ebook/dp/B0CBQWL5XY/,,,
,Riftborn: A Post Apocalyptic Urban Fantasy (Of Sorrows and Blades Book 1),Shannon Mayer,4.8,,,https://www.amazon.com/Riftborn-Apocalyptic-Fantasy-Sorrows-Blades-ebook/dp/B0GQJJ2533/,I do not know my name.,,
,The Alpha King's Queen: A Rejected Mate Werewolf Romance,Eloise Benjamin,4.5,,,https://www.amazon.com/Alpha-Kings-Queen-Eloise-Benjamin-ebook/dp/B0DKXV4W7G/,,,
,Swipe Right on Fate,Roxie Ray,4.2,,,https://www.amazon.com/Swipe-Right-Fate-Roxie-Ray-ebook/dp/B0GJ79LTJ6/,,,
